SMILES,MoleculeName
CC(=O)/C=C(/C)[O-].CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.[Ir+4],Ir(Coumarin6)2acac+
CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.[Ir+4].c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,Ir(Coumarin6)2biq+
CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(Coumarin6)2bpy+
CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(Coumarin6)2phen+
Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2ccc(C)cn2)nc1.[Ir+4],"Ir(dClMeppy)2(5,5'dmbpy)+"
Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(dClMeppy)2(bpy)+
CC(C)c1ccc(-c2ccc(C(C)C)cn2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4],Ir(dClMeppy)2(diqbpy)+
Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4].c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,Ir(dClMeppy)2(dphphen)+
C(=C\P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4],Ir(dClMeppy)2(dppe)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2Cl)nc1.[Ir+4],Ir(dClMeppy)2(dtbbpy)+
